,Title,Genre,Duration,Rating,Votes
0,Dune: Part Two,Romance,2h 46m,8.5,(610K)
1,Venom: The Last Dance,Romance,1h 50m,6.0,(105K)
2,Gladiator II,Romance,2h 28m,6.6,(213K)
3,Sonic the Hedgehog 3,Romance,1h 50m,6.9,(51K)
4,The Lord of the Rings: The War of the Rohirrim,Romance,2h 14m,6.3,(27K)
5,William Tell,Romance,2h 13m,5.8,(1.4K)
6,Kraven the Hunter,Romance,2h 7m,5.4,(42K)
7,Pushpa: The Rule - Part 2,Romance,3h 21m,6.1,(53K)
8,Furiosa: A Mad Max Saga,Romance,2h 28m,7.5,(278K)
9,Elevation,Romance,1h 31m,5.6,(19K)
10,Borderlands,Romance,1h 41m,4.7,(44K)
11,Deadpool & Wolverine,Romance,2h 8m,7.6,(478K)
12,The Ministry of Ungentlemanly Warfare,Romance,2h 2m,6.8,(131K)
13,Civil War,Romance,1h 49m,7.0,(231K)
14,The Count of Monte-Cristo,Romance,2h 58m,7.6,(32K)
15,Twisters,Romance,2h 2m,6.5,(159K)
16,Carry-On,Romance,1h 59m,6.5,(158K)
17,The Crow,Romance,1h 51m,4.7,(32K)
18,Marco,Romance,2h 25m,7.0,(20K)
19,The Fall Guy,Romance,2h 6m,6.8,(215K)
20,The Beekeeper,Romance,1h 45m,6.3,(152K)
21,Kingdom of the Planet of the Apes,Romance,2h 25m,6.9,(149K)
22,Madame Web,Romance,1h 56m,4.0,(99K)
23,Homestead,Romance,1h 52m,5.4,(3.2K)
24,Rebel Ridge,Romance,2h 11m,6.8,(85K)
25,Red One,Romance,2h 3m,6.3,(137K)
26,Thelma,Romance,1h 38m,7.0,(21K)
27,Hellboy: The Crooked Man,Romance,1h 39m,4.5,(12K)
28,Old Guy,Romance,1h 34m,5.1,(1.5K)
29,Road House,Romance,2h 1m,6.2,(165K)
30,Transformers One,Romance,1h 44m,7.6,(47K)
31,Attack on Titan the Movie: The Last Attack,Romance,2h 25m,9.3,(14K)
32,Bad Boys: Ride or Die,Romance,1h 55m,6.5,(98K)
33,Argylle,Romance,2h 19m,5.6,(91K)
34,Damsel,Romance,1h 50m,6.1,(108K)
35,Solo Leveling: ReAwakening,Romance,2h 1m,8.7,(6K)
36,Monkey Man,Romance,2h 1m,6.8,(90K)
37,Love Lies Bleeding,Romance,1h 44m,6.6,(55K)
38,Aftermath,Romance,1h 37m,5.1,(3.3K)
39,Godzilla x Kong: The New Empire,Romance,1h 55m,6.1,(119K)
40,Baby John,Romance,2h 39m,5.4,(17K)
41,The Union,Romance,1h 47m,5.4,(52K)
42,Freaky Tales,Romance,1h 46m,6.5,(362)
43,Land of Bad,Romance,1h 53m,6.6,(50K)
44,The Killer's Game,Romance,1h 44m,5.7,(16K)
45,Absolution,Romance,1h 52m,5.2,(7.3K)
46,Azrael,Romance,1h 26m,5.4,(10K)
47,Drive-Away Dolls,Romance,1h 24m,5.4,(23K)
48,Uglies,Romance,1h 40m,4.7,(32K)
49,Blitz,Romance,2h,6.2,(15K)
50,Arcadian,Romance,1h 32m,5.5,(22K)
51,Werewolves,Romance,1h 33m,4.4,(5.9K)
52,Kung Fu Panda 4,Romance,1h 34m,6.3,(66K)
53,Descendants: The Rise of Red,Romance,1h 31m,4.7,(6.9K)
54,The Killer,Romance,2h 6m,5.7,(12K)
55,Lift,Romance,1h 47m,5.5,(49K)
56,Beverly Hills Cop: Axel F,Romance,1h 58m,6.4,(80K)
57,The Instigators,Romance,1h 41m,6.2,(37K)
58,Weekend in Taipei,Romance,1h 40m,5.7,(4.3K)
59,Apocalypse Z: The Beginning of the End,Romance,1h 57m,6.1,(19K)
60,Brothers,Romance,1h 29m,5.4,(13K)
61,Maharaja,Romance,2h 21m,8.4,(65K)
62,11 Rebels,Romance,2h 35m,6.2,(230)
63,Hagen,Romance,2h 19m,6.1,(949)
64,Canary Black,Romance,1h 41m,5.4,(11K)
65,Watchmen: Chapter I,Romance,1h 23m,7.0,(6.2K)
66,Atlas,Romance,1h 58m,5.6,(55K)
67,Long Gone Heroes,Romance,1h 41m,5.2,(940)
68,The Silent Hour,Romance,1h 39m,6.1,(6.9K)
69,Kalki 2898-AD,Romance,3h,7.0,(66K)
70,Dirty Angels,Romance,1h 44m,4.3,(3.1K)
71,Hitpig,Romance,1h 26m,5.1,(812)
72,The Shadow Strays,Romance,2h 24m,6.5,(8.9K)
73,Classified,Romance,1h 45m,3.7,(2.2K)
74,Survive,Romance,1h 30m,4.6,(2K)
75,Rebel Moon - Part Two: The Scargiver,Romance,2h 2m,5.3,(59K)
76,Cash Out,Romance,1h 32m,4.8,(2.8K)
77,Jackpot!,Romance,1h 46m,5.8,(30K)
78,Dominique,Romance,1h 40m,5.2,(2.1K)
79,Twilight of the Warriors: Walled In,Romance,2h 6m,7.0,(8.8K)
80,Trigger Warning,Romance,1h 46m,4.6,(19K)
81,Under Paris,Romance,1h 44m,5.2,(36K)
82,Gunner,Romance,1h 46m,3.2,(2.3K)
83,No Way Up,Romance,1h 30m,4.6,(10K)
84,Boneyard,Romance,1h 36m,4.1,(4.8K)
85,Watchmen: Chapter II,Romance,1h 30m,7.0,(2.7K)
86,Death Whisperer 2,Romance,1h 50m,6.4,(1.2K)
87,Armor,Romance,1h 29m,3.5,(3.6K)
88,Megamind vs. The Doom Syndicate,Romance,1h 23m,2.5,(5.4K)
89,Night Call,Romance,1h 37m,6.8,(1.7K)
90,Aavesham,Romance,2h 35m,7.8,(27K)
91,Panda Plan,Romance,1h 39m,5.1,(1.1K)
92,Agents,Romance,1h 22m,3.8,(866)
93,Red Right Hand,Romance,1h 51m,5.5,(5.7K)
94,Damaged,Romance,1h 37m,4.7,(7.1K)
95,Levels,Romance,1h 33m,5.0,(1.4K)
96,River of Blood,Romance,1h 26m,5.4,(1.5K)
97,Role Play,Romance,1h 40m,5.5,(19K)
98,Max,Romance,2h 12m,7.2,(3.2K)
99,Take Cover,Romance,1h 30m,5.1,(2.3K)
100,Harbin,Romance,1h 48m,6.6,(464)
101,Amaran,Romance,2h 47m,8.2,(18K)
102,Chief of Station,Romance,1h 37m,4.7,(4.3K)
103,My Hero Academia: You're Next,Romance,1h 50m,7.0,(1.9K)
104,Trouble,Romance,1h 38m,6.2,(6.6K)
105,My Spy: The Eternal City,Romance,1h 52m,5.7,(11K)
106,Sunray: Fallen Soldier,Romance,1h 55m,4.3,(574)
107,Joe Baby,Romance,1h 26m,8.2,(24)
108,Uprising,Romance,2h 6m,6.6,(5.3K)
109,Elyas,Romance,1h 45m,6.1,(1.2K)
110,Dark Match,Romance,1h 34m,5.5,(812)
111,The Thundermans Return,Romance,1h 10m,5.0,(1.8K)
112,Deep Six,Romance,1h 34m,3.4,(210)
113,Code 8: Part II,Romance,1h 40m,5.7,(16K)
114,The Fix,Romance,1h 38m,4.6,(1.1K)
115,Singham Again,Romance,2h 24m,4.8,(75K)
116,Rifle Club,Romance,1h 53m,7.0,(3.9K)
117,Simarik,Romance,1h 51m,6.4,(2.3K)
118,Hounds of War,Romance,1h 35m,4.5,(1.7K)
119,Sikandar ka Muqaddar,Romance,2h 22m,6.0,(24K)
120,Drive Back,Romance,1h 34m,4.7,(286)
121,Rats!,Romance,1h 25m,8.2,(74)
122,Justice League: Crisis on Infinite Earths - Part One,Romance,1h 33m,6.2,(8.3K)
123,Prey,Romance,1h 26m,3.7,(3.2K)
124,Badland Hunters,Romance,1h 47m,5.9,(12K)
125,The Lost Tiger,Romance,1h 30m,7.8,(31)
126,The Courier,Romance,1h 41m,6.0,(4.3K)
127,The Roundup: Punishment,Romance,1h 49m,6.6,(5K)
128,Raayan,Romance,2h 25m,6.5,(11K)
129,Darkness of Man,Romance,1h 49m,4.8,(3.1K)
130,Cells at Work!,Romance,1h 49m,6.8,(157)
131,Officer Black Belt,Romance,1h 48m,6.8,(7.9K)
132,The Prosecutor,Romance,1h 57m,6.8,(1.3K)
133,Duchess,Romance,1h 54m,4.6,(1.2K)
134,Justice League: Crisis on Infinite Earths - Part Three,Romance,1h 34m,6.1,(4.3K)
135,The Price of Money: A Largo Winch Adventure,Romance,1h 40m,5.1,(1K)
136,The Wages of Fear,Romance,1h 44m,4.6,(4K)
137,Bougainvillea,Romance,2h 18m,6.4,(3K)
138,The Quiet Ones,Romance,1h 50m,6.5,(502)
139,Pani,Romance,2h 23m,6.9,(2.7K)
140,The Tiger's Apprentice,Romance,1h 24m,5.8,(2.1K)
141,Arena Wars,Romance,1h 36m,5.0,(2K)
142,Devara Part 1,Romance,2h 56m,6.0,(20K)
143,Karma,Romance,2h 47m,8.1,(1.4K)
144,City Hunter,Romance,1h 42m,6.3,(5.5K)
145,"I, the Executioner",Romance,1h 58m,6.3,(1.5K)
146,One Fast Move,Romance,1h 48m,5.0,(2.2K)
147,One More Shot,Romance,1h 43m,5.4,(3.5K)
148,Golden Kamuy,Romance,2h 7m,6.3,(2.5K)
149,Utopia,Romance,1h 31m,3.7,(335)
150,Cloud,Romance,2h 3m,6.3,(882)
151,Fight Another Day,Romance,1h 37m,5.1,(320)
152,Article 370,Romance,2h 38m,7.8,(24K)
153,Air Force One Down,Romance,1h 24m,4.4,(2.8K)
154,Lights Out,Romance,1h 30m,4.9,(1.7K)
155,Ultraman: Rising,Romance,1h 57m,6.9,(6.2K)
156,200% Wolf,Romance,1h 38m,6.0,(1.3K)
157,Fighter,Romance,2h 46m,6.2,(52K)
158,Life After Fighting,Romance,2h 6m,6.4,(1.9K)
159,Continental Split,Romance,1h 28m,3.5,(531)
160,Die Hart: Die Harter,Romance,1h 32m,4.3,(5.4K)
161,The Family Star,Romance,2h 39m,5.4,(5.4K)
162,Zero,Romance,1h 28m,6.1,(37)
163,Angels Fallen: Warriors of Peace,Romance,1h 43m,4.9,(5.8K)
164,Latency,Romance,1h 34m,4.2,(1.7K)
165,Kill Em All 2,Romance,1h 28m,4.1,(1.3K)
166,Echo 8,Romance,1h 36m,5.5,(156)
167,Agent Recon,Romance,1h 25m,2.4,(656)
168,Dan Da Dan: First Encounter,Romance,1h 23m,8.2,(2.5K)
169,Murder Company,Romance,1h 26m,3.6,(1.5K)
170,Ferry 2,Romance,1h 34m,5.6,(3.7K)
171,Operation Blood Hunt,Romance,1h 33m,3.4,(453)
172,Freedom,Romance,1h 50m,5.9,(1.3K)
173,Get Fast,Romance,1h 28m,3.6,(432)
174,Hijack 1971,Romance,1h 40m,6.8,(3.2K)
175,Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,Romance,2h 54m,8.2,(642)
176,Anaconda,Romance,1h 24m,4.9,(599)
177,Alien: Rubicon,Romance,1h 26m,2.4,(327)
178,A Legend,Romance,2h 9m,4.7,(852)
179,Alangu,Romance,2h 11m,8.3,(1.1K)
180,Wynonna Earp: Vengeance,Romance,1h 36m,5.6,(1.5K)
181,Jigra,Romance,2h 33m,6.0,(23K)
182,Striking Rescue,Romance,1h 46m,5.7,(317)
183,Diabel,Romance,1h 48m,5.1,(192)
184,The Clean Up Crew,Romance,1h 35m,4.1,(1.1K)
185,The Hangman,Romance,1h 32m,3.3,(983)
186,Justice League: Crisis on Infinite Earths - Part Two,Romance,1h 34m,5.5,(5.2K)
187,Invasion,Romance,1h 31m,4.8,(662)
188,Savi,Romance,2h 6m,6.2,(35K)
189,Spiders on a Plane,Romance,1h 18m,5.9,(358)
190,Agni,Romance,2h 2m,7.3,(15K)
191,Revolver,Romance,1h 54m,5.4,(815)
192,Terminator: Skynet Rising,Romance,1h 28m,6.8,(257)
193,Hanu Man,Romance,2h 38m,7.7,(29K)
194,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Romance,1h 44m,7.1,(8.2K)
195,Sixty Minutes,Romance,1h 28m,5.7,(5.1K)
196,Escape,Romance,1h 34m,6.4,(1.9K)
197,Murder at Hollow Creek,Romance,N/A,4.2,(77)
198,The Last Kumite,Romance,1h 45m,4.6,(2.3K)
199,London Calling,Romance,1h 49m,6.5,(8)
200,Outlaw,Romance,1h 22m,5.2,(897)
201,The Greatest of All Time,Romance,3h 3m,5.8,(22K)
202,Overlord: The Sacred Kingdom,Romance,2h 15m,7.0,(693)
203,72 Hours,Romance,1h 27m,4.1,(279)
204,Cassino in Ischia,Romance,1h 53m,4.4,(229)
205,Vettaiyan,Romance,2h 43m,7.0,(39K)
206,Baby Invasion,Romance,1h 20m,5.4,(51)
207,Heart of the Hunter,Romance,1h 45m,4.7,(2.1K)
208,Alienoid: The Return to the Future,Romance,2h 2m,6.5,(2.5K)
209,Handsome Guys,Romance,1h 41m,6.5,(738)
210,Snow White and the Seven Samurai,Romance,1h 28m,3.2,(259)
211,Operation Undead,Romance,1h 50m,4.6,(346)
212,Wanted Man,Romance,1h 25m,4.8,(2.5K)
213,Razakar: The Silent Genocide of Hyderabad,Romance,2h 46m,7.4,(5.2K)
214,"Love, Courage and the Battle of Bushy Run",Romance,1h 53m,5.0,(168)
215,Bagheera,Romance,2h 38m,6.7,(7.2K)
216,Kingdom 4: Return of the Great General,Romance,2h 25m,7.1,(1.2K)
217,The Lockdown,Romance,1h 57m,4.3,(593)
218,War of the Worlds: Extinction,Romance,1h 24m,3.0,(170)
219,Ryan's World the Movie: Titan Universe Adventure,Romance,1h 20m,1.8,(629)
220,Viduthalai Part 2,Romance,2h 50m,8.0,(15K)
221,GTMax,Romance,1h 40m,5.0,(1.2K)
222,Yodha,Romance,2h 10m,5.7,(8.8K)
223,The Last Front,Romance,1h 38m,5.5,(596)
224,Mura,Romance,2h 9m,7.3,(6.2K)
225,The Last Ronin,Romance,2h 1m,4.9,(218)
226,Vanvaas,Romance,2h 40m,6.7,(1K)
227,Nice Girls,Romance,1h 32m,4.2,(1.2K)
228,The Ballad of Davy Crockett,Romance,1h 36m,4.6,(242)
229,12 Gaun,Romance,2h 27m,6.3,(862)
230,Saripodhaa Sanivaaram,Romance,2h 46m,7.0,(8.8K)
231,Chandu Champion,Romance,2h 22m,7.8,(34K)
232,Sunset Superman,Romance,1h 21m,6.1,(141)
233,Everybody Loves Jenifa,Romance,2h 15m,8.4,(77)
234,Thangalaan,Romance,2h 36m,6.6,(6.5K)
235,Kanguva,Romance,2h 32m,4.6,(14K)
236,Je jatt Vigarh gya,Romance,2h 12m,5.7,(811)
237,Guntur Karam,Romance,2h 39m,5.4,(25K)
238,A.R.M,Romance,2h 30m,7.1,(8.5K)
239,Vedaa,Romance,2h 25m,6.0,(4.2K)
240,Devaki Nandana Vasudeva,Romance,2h 8m,8.9,(2.7K)
241,Rogue Elements: A Ryan Drake Story,Romance,44m,4.9,(911)
242,Memes & Nightmares,Romance,1h 21m,5.7,(71)
243,12 to Midnight,Romance,1h 36m,3.6,(270)
244,Mission: Cross,Romance,1h 45m,6.1,(2.5K)
245,Roadkill,Romance,1h 30m,3.6,(671)
246,Sobanggwan,Romance,1h 46m,5.9,(140)
