,TITLE,RATING,VOTING
0,1. The Brutalist,7.5, (61K)
1,2. Nosferatu,7.3, (172K)
2,3. Anora,7.6, (132K)
3,4. A Complete Unknown,7.5, (53K)
4,5. Conclave,7.4, (124K)
5,6. The Substance,7.3, (272K)
6,7. I'm Still Here,8.6, (88K)
7,8. A Real Pain,7.1, (70K)
8,9. Presence,6.2, (14K)
9,10. Flow,7.9, (51K)
10,11. Emilia P̩rez,5.4, (82K)
11,12. Venom: The Last Dance,6, (103K)
12,13. Wicked,7.5, (138K)
13,14. Elevation,5.6, (18K)
14,15. Sonic the Hedgehog 3,6.9, (50K)
15,16. Gladiator II,6.6, (211K)
16,17. Mufasa: The Lion King,6.6, (46K)
17,18. Nickel Boys,7, (15K)
18,19. Longlegs,6.6, (176K)
19,20. Babygirl,6, (45K)
20,21. The Order,6.8, (36K)
21,22. September 5,7.1, (18K)
22,23. The Wild Robot,8.2, (148K)
23,24. The Last Showgirl,6.5, (7.7K)
24,25. Heretic,7, (111K)
25,26. Furiosa: A Mad Max Saga,7.5, (277K)
26,27. Eden,6.1,-771
27,28. Dune: Part Two,8.5, (608K)
28,29. The Apprentice,7.1, (47K)
29,30. The Surfer,6.5,-565
30,31. Parthenope,6.7, (8.1K)
31,32. Pushpa: The Rule - Part 2,6.1, (53K)
32,33. Paddington in Peru,6.7, (15K)
33,34. Saturday Night,6.9, (28K)
34,35. Kraven the Hunter,5.4, (41K)
35,36. Blink Twice,6.5, (98K)
36,37. It Ends with Us,6.4, (80K)
37,38. Old Guy,5.1, (1.3K)
38,39. We Live in Time,7, (47K)
39,40. Better Man,7.6, (20K)
40,41. Juror #2,7, (89K)
41,42. Subservience,5.4, (26K)
42,43. Moana 2,6.8, (81K)
43,44. Deadpool & Wolverine,7.6, (476K)
44,45. Queen of the Ring,7.2,-461
45,46. The Ministry of Ungentlemanly Warfare,6.8, (131K)
46,47. Borderlands,4.7, (44K)
47,48. Alien: Romulus,7.1, (235K)
48,49. The Girl with the Needle,7.5, (11K)
49,50. Maria,6.4, (17K)
